word,common,prefix,distinct
appear,383,-1,320
appease,3938,-1,-1
appeasing,6152,-1,-1
appendage,5450,-1,2813
appendix,2906,-1,1714
appetite,1918,-1,1230
appetizer,5150,-1,-1
applaud,3081,-1,1796
applause,2014,-1,-1
apple,468,-1,379
appliance,3443,-1,-1
applicant,2525,-1,1532
applied,560,-1,-1
apply,425,-1,-1
appointee,5080,-1,2667
appraisal,3171,-1,1839
appraiser,5310,-1,-1
apprehend,4605,-1,2467
approach,321,249,270
approval,769,-1,-1
approve,1450,-1,983
apricot,4754,-1,-1
april,158,139,134
apron,3416,-1,-1
aptitude,3939,1114,-1
aptly,4237,-1,-1
aqua,3172,1016,1840
aqueduct,4928,-1,2608
arbitrary,1969,794,1256
arbitrate,6435,-1,-1
ardently,6292,1332,3181
area,74,69,64
arena,1013,-1,-1
arguable,5751,-1,-1
arguably,1843,-1,1185
argue,816,477,-1
arise,1776,750,1145
armadillo,5632,-1,2884
armband,5633,-1,2885
armchair,3899,-1,-1
armed,651,-1,514
armful,6963,-1,-1
armhole,7343,-1,3588
arming,4153,-1,-1
armless,6719,-1,-1
armoire,6752,-1,3360
armored,2583,-1,-1
armory,3868,-1,-1
armrest,6446,-1,-1
army,241,200,203
aroma,3830,-1,-1
arose,2274,-1,-1
around,31,31,29
arousal,4238,-1,2302
arrange,1611,-1,1065
array,1418,-1,-1
arrest,701,440,552
arrival,848,-1,629
arrive,946,-1,-1
arrogance,2788,-1,-1
arrogant,2247,-1,1395
arson,3272,1034,1879
art,125,113,-1
ascend,3792,-1,2119
ascension,3479,-1,-1
ascent,3207,1024,-1
ascertain,3634,-1,-1
ashamed,1495,689,-1
ashen,6217,-1,-1
ashes,1777,-1,1146
ashy,6003,-1,-1
aside,652,416,515
askew,5570,1290,2860
asleep,969,534,-1
asparagus,3753,-1,2100
aspect,898,512,-1
aspirate,6832,-1,-1
aspire,3042,-1,1781
aspirin,3480,-1,-1
astonish,6237,-1,3159
astound,6508,-1,-1
astride,5872,-1,-1
astrology,3349,-1,-1
astronaut,2636,-1,1591
astronomy,2547,911,1540
astute,4324,-1,2340
atlantic,930,524,683
atlas,2094,-1,1317
atom,2303,866,1422
atonable,7609,-1,-1
atop,2548,-1,-1
atrium,4239,-1,-1
atrocious,4154,1133,-1
atrophy,4798,-1,-1
attach,2219,-1,1381
attain,2637,-1,-1
attempt,384,-1,321
attendant,2638,-1,1592
attendee,5571,-1,2861
attention,195,166,162
attentive,3604,-1,-1
attest,3754,-1,-1
attic,2549,-1,-1
attire,2981,-1,1753
attitude,666,-1,528
attractor,6608,-1,3304
attribute,2164,-1,-1
atypical,4240,1141,-1
auction,1106,578,-1
audacious,4860,-1,2581
audacity,3688,-1,-1
audible,3106,-1,-1
audibly,5982,-1,3046
audience,497,346,401
audio,801,-1,-1
audition,2165,-1,-1
augmented,2937,-1,1732
august,206,173,171
authentic,1532,-1,1022
author,297,235,250
autism,1685,-1,1105
autistic,3173,-1,-1
autograph,2982,-1,1754
automaker,5811,-1,2965
automated,1822,-1,-1
automatic,970,-1,709
autopilot,4084,-1,2234
available,126,114,108
avalanche,3011,-1,-1
avatar,2389,-1,1461
avenge,3755,-1,-1
avenging,5476,-1,-1
avenue,869,-1,-1
average,172,148,144
aversion,3756,-1,-1
avert,4155,-1,2268
aviation,1283,630,-1
aviator,4799,-1,-1
avid,2938,-1,-1
avoid,367,276,309
await,2550,-1,1541
awaken,3444,-1,1956
award,358,273,303
aware,446,-1,-1
awhile,1871,774,1203
awkward,1076,569,-1
awning,5634,1295,-1
awoke,4115,1128,2249
awry,4929,1224,-1
axis,1572,708,1044
babble,5408,-1,-1
babbling,5174,1252,2700
babied,6922,-1,3428
baboon,5534,-1,-1
backache,6659,-1,-1
backboard,6004,-1,-1
backboned,7564,-1,-1
backdrop,2694,-1,1620
backed,1122,582,796
backer,4686,-1,-1
backfield,5535,-1,-1
backfire,4282,-1,2316
backhand,5151,-1,-1
backing,1165,-1,-1
backlands,7411,-1,-1
backlash,2466,-1,1498
backless,6339,-1,-1
backlight,6218,-1,-1
backlit,6067,-1,3087
backlog,3900,-1,2164
backpack,2141,-1,1344
backpedal,7117,-1,-1
backrest,7014,-1,-1
backroom,5373,-1,-1
backshift,7610,-1,-1
backside,3940,-1,-1
backslid,7467,-1,-1
backspace,6720,-1,-1
backspin,7061,-1,-1
backstab,6909,-1,-1
backstage,2639,-1,1593
backtalk,7298,-1,-1
backtrack,5572,-1,-1
backup,1195,-1,841
backward,2332,-1,-1
backwash,6802,-1,-1
backwater,5210,-1,2712
backyard,1919,-1,1231
bacon,1321,-1,914
bacteria,1234,-1,-1
bacterium,4501,-1,2416
badass,2333,-1,1436
badge,1573,-1,1045
badland,7344,-1,-1
badly,849,493,630
badness,6238,-1,-1
baffle,5573,-1,-1
baffling,4198,1137,-1
bagel,4011,-1,-1
bagful,7234,-1,3543
baggage,2248,856,1396
bagged,4012,-1,-1
baggie,6509,-1,-1
bagginess,7592,-1,3659
bagging,4687,-1,-1
baggy,4085,-1,-1
bagpipe,6447,-1,3236
baguette,5269,-1,2738
baked,1800,755,-1
bakery,2436,-1,1485
bakeshop,7345,-1,3589
baking,1801,-1,-1
balance,469,329,380
balancing,2095,-1,-1
balcony,2142,-1,-1
balmy,5635,-1,-1
balsamic,5512,-1,2838
bamboo,2493,899,1516
banana,1612,-1,1066
banish,4430,-1,-1
banister,6118,-1,-1
banjo,3689,-1,2071
bankable,6815,-1,-1
bankbook,7573,-1,-1
banked,4688,-1,-1
banker,2143,-1,-1
banking,985,538,-1
banknote,6195,-1,3143
bankroll,5152,-1,2691
banner,1380,-1,948
bannister,4991,-1,-1
banshee,5285,-1,2746
banter,3012,-1,-1
barbecue,2584,-1,1560
barbed,3690,-1,-1
barbell,5776,-1,-1
barber,2068,-1,1298
barcode,5056,-1,2657
barge,2939,-1,-1
bargraph,7611,-1,-1
barista,4606,-1,2468
baritone,4755,-1,2539
barley,2983,-1,1755
barmaid,6239,-1,-1
barman,5409,-1,-1
barn,1636,-1,1080
barometer,4013,-1,2204
barrack,5341,-1,2764
barracuda,5374,-1,-1
barrel,1284,631,886
barrette,6842,-1,-1
barricade,4362,-1,-1
barrier,1322,-1,-1
barstool,6403,-1,3221
bartender,2940,-1,-1
barterer,7612,-1,-1
bash,2069,-1,-1
basically,602,-1,483
basics,2039,-1,-1
basil,2494,-1,-1
basin,1451,-1,-1
basis,426,304,351
basket,1480,-1,1000
batboy,7299,-1,3574
batch,1823,-1,-1
bath,850,-1,-1
baton,2526,-1,-1
bats,2040,-1,-1
battalion,2070,-1,1299
battered,3235,-1,1862
battering,5113,-1,-1
battery,741,-1,-1
batting,1986,-1,-1
battle,310,242,262
bauble,6541,1343,-1
bazooka,5839,1311,2983
blabber,6947,-1,-1
bladder,2585,-1,-1
blade,1235,-1,-1
blah,1889,-1,1213
blame,603,395,484
blaming,1890,-1,-1
blanching,7031,-1,-1
blandness,6923,-1,-1
blank,1338,-1,923
blaspheme,6753,-1,-1
blasphemy,3605,-1,2032
blast,1028,-1,-1
blatancy,7613,-1,-1
blatantly,3941,-1,2176
blazer,3691,-1,2072
blazing,3013,-1,1773
bleach,2907,-1,-1
bleak,3174,-1,-1
bleep,4391,-1,-1
blemish,5175,-1,2701
blend,1726,-1,1121
bless,1285,632,887
blighted,5410,-1,-1
blimp,5375,-1,2778
bling,3901,-1,-1
blinked,4689,-1,-1
blinker,6448,-1,-1
blinking,3606,-1,-1
blinks,5411,-1,2794
blip,4800,-1,-1
blissful,4690,-1,2504
blitz,2721,940,1633
blizzard,2846,-1,1692
bloated,3512,-1,1986
bloating,5574,-1,-1
blob,4431,-1,-1
blog,498,347,402
bloomers,6404,-1,-1
blooming,3513,-1,1987
blooper,6322,-1,3190
blot,4573,-1,-1
blouse,3350,-1,1917
blubber,6095,-1,-1
bluff,2695,-1,1621
bluish,5081,-1,-1
blunderer,7542,-1,-1
blunt,1844,765,1186
blurb,5342,-1,2765
blurred,3043,-1,1782
blurry,3692,-1,-1
blurt,6219,-1,-1
blush,2751,-1,-1
blustery,6240,-1,3160
boaster,7446,-1,-1
boastful,6179,-1,3139
boasting,3658,-1,2057
boat,520,361,-1
bobbed,6405,-1,-1
bobbing,5176,1253,-1
bobble,5777,-1,-1
bobcat,5311,-1,2754
bobsled,6304,-1,3186
bobtail,6975,-1,-1
bodacious,6676,-1,-1
body,88,83,78
bogged,4719,-1,2521
boggle,6582,-1,-1
bogus,3175,1017,-1
boil,2015,804,-1
bok,4831,1210,-1
bolster,3571,-1,-1
bolt,1533,700,-1
bonanza,4502,-1,-1
bonded,2877,-1,1703
bonding,2408,-1,-1
bondless,7614,-1,-1
boned,5082,-1,-1
bonehead,6559,-1,-1
