word,common,prefix,distinct
clubbed,6069,-1,-1
clubbing,4722,-1,-1
clubhouse,3237,-1,1864
clump,4896,-1,2594
clumsily,5934,-1,-1
clumsy,3138,-1,1824
clunky,5212,-1,2714
clustered,4365,-1,2359
clutch,1893,781,1216
clutter,3904,-1,-1
coach,291,232,244
coagulant,6911,-1,3421
coastal,1239,-1,867
coaster,2391,-1,-1
coasting,5575,-1,-1
coastland,7481,-1,-1
coastline,2912,-1,-1
coat,971,-1,710
coauthor,5984,-1,-1
cobalt,3379,1051,-1
cobbler,5271,-1,2739
cobweb,6544,-1,3281
cocoa,2530,-1,1533
coconut,1894,782,1217
cod,1873,775,-1
coeditor,7235,-1,-1
coerce,5154,-1,-1
coexist,4537,1177,2433
coffee,374,279,313
cofounder,5935,-1,-1
cognition,3481,-1,-1
cognitive,1396,661,955
cogwheel,7331,-1,3583
coherence,4366,-1,-1
coherent,2554,913,1543
cohesive,3573,-1,2017
coil,2277,861,-1
coke,1455,676,-1
cola,2251,-1,-1
cold,255,211,-1
coleslaw,5812,-1,2966
coliseum,4054,-1,2219
collage,3451,-1,-1
collapse,1266,-1,880
collar,1535,-1,-1
collected,604,-1,-1
collector,1825,-1,1173
collide,3637,-1,2045
collie,4757,-1,-1
collision,1727,-1,1122
colonial,1291,-1,893
colonist,6098,-1,-1
colonize,5377,-1,-1
colony,1383,-1,949
colossal,3380,-1,-1
colt,2724,-1,-1
coma,2252,-1,-1
come,29,29,27
comfort,899,-1,662
comfy,2555,-1,1544
comic,884,-1,-1
coming,89,-1,79
comma,3694,-1,2074
commence,2662,-1,-1
commend,3760,-1,-1
comment,361,-1,-1
commerce,958,-1,701
commode,6523,-1,-1
commodity,1945,-1,1245
commodore,3381,-1,1931
common,153,-1,129
commotion,4199,-1,-1
commute,2753,-1,-1
commuting,3638,-1,-1
compacted,5639,-1,-1
compacter,7624,-1,-1
compactly,6781,-1,-1
compactor,6594,-1,-1
companion,1359,-1,-1
company,50,-1,43
compare,835,-1,622
compel,3661,-1,-1
compile,3354,-1,-1
comply,1536,-1,-1
component,1029,-1,745
composed,1108,-1,787
composer,1972,-1,-1
composite,1752,-1,-1
compost,3905,-1,-1
composure,4017,-1,-1
compound,1267,-1,-1
compress,4435,-1,-1
comprised,2045,-1,-1
computer,283,-1,236
computing,1482,-1,-1
comrade,2790,-1,1664
concave,4607,-1,2469
conceal,2879,-1,-1
conceded,2556,-1,-1
concept,458,-1,373
concerned,477,-1,385
concert,705,-1,-1
conch,5346,-1,-1
concierge,4200,-1,-1
concise,3083,-1,1797
conclude,1849,-1,1188
concrete,852,-1,-1
concur,4018,-1,2206
condense,5604,-1,2873
condiment,5640,-1,-1
condition,375,-1,314
condone,4055,-1,-1
conducive,3794,-1,-1
conductor,2097,-1,1319
conduit,3662,-1,-1
cone,2017,-1,-1
confess,2046,-1,-1
confetti,4574,-1,2452
confidant,4930,-1,-1
confident,872,-1,644
confider,7625,-1,-1
confiding,6465,-1,-1
configure,4575,-1,-1
confined,2047,-1,-1
confining,5900,-1,-1
confirm,910,-1,668
conflict,591,-1,476
conform,2849,-1,-1
confound,5783,-1,-1
confront,2098,-1,-1
confused,804,-1,603
confusing,1577,-1,-1
confusion,1240,-1,868
congenial,6007,-1,3058
congested,4056,-1,-1
congrats,1596,-1,-1
congress,342,-1,290
conical,4328,-1,-1
conjoined,5412,-1,2795
conjure,4329,-1,-1
conjuror,7241,-1,-1
connected,551,-1,446
connector,3045,-1,-1
consensus,1420,-1,-1
consent,972,-1,-1
console,1456,-1,984
consoling,5877,-1,-1
consonant,4367,-1,2360
constable,2118,-1,-1
constant,720,-1,-1
constrain,5272,-1,-1
constrict,6484,-1,-1
construct,1664,-1,-1
consult,1922,-1,1234
consumer,688,-1,545
consuming,1874,-1,-1
contact,279,-1,234
container,1557,-1,1033
contempt,2253,-1,-1
contend,2754,-1,-1
contented,4833,-1,-1
contently,7362,-1,-1
contents,1268,-1,-1
contest,731,-1,-1
context,605,-1,485
contort,6912,-1,-1
contour,3382,-1,-1
contrite,6221,-1,3153
control,90,84,80
contusion,6275,-1,-1
convene,4538,-1,-1
convent,3017,-1,-1
copartner,7626,-1,-1
cope,1537,-1,-1
copied,2119,-1,1333
copier,5728,-1,-1
copilot,6245,-1,-1
coping,2363,-1,-1
copious,4330,-1,2342
copper,1109,-1,788
copy,459,321,374
coral,1946,-1,1246
cork,2334,-1,-1
cornball,6965,-1,-1
cornbread,5576,-1,2862
corncob,7104,-1,3494
cornea,4931,-1,-1
corned,5841,-1,-1
corner,478,-1,386
cornfield,6099,-1,3103
cornflake,7195,-1,3526
cornhusk,7627,-1,3666
cornmeal,6246,-1,-1
cornstalk,7270,-1,-1
corny,3833,-1,-1
coronary,3238,-1,1865
coroner,3179,-1,-1
corporal,2496,-1,-1
corporate,592,-1,477
corral,4474,-1,-1
correct,439,310,361
corridor,1895,-1,1218
corrode,6367,-1,-1
corroding,6864,-1,-1
corrosive,4285,-1,2319
corsage,6721,-1,-1
corset,4576,-1,-1
cortex,2663,-1,-1
cosigner,7137,-1,3505
cosmetics,2438,-1,-1
cosmic,2145,-1,1346
cosmos,2913,-1,1716
cosponsor,6791,-1,-1
cost,143,126,-1
cottage,1618,-1,1068
cotton,986,539,720
couch,1292,-1,-1
cough,1728,-1,1123
could,7,7,7
countable,6154,-1,3133
countdown,2410,-1,1470
counting,1110,-1,-1
countless,1703,-1,-1
country,70,-1,61
county,159,-1,-1
courier,2411,-1,-1
covenant,2278,-1,1405
cover,219,184,183
coveted,3482,-1,-1
coveting,6689,-1,-1
coyness,7263,1368,-1
cozily,7457,-1,3620
coziness,7041,-1,-1
cozy,2531,906,-1
crabbing,6877,-1,-1
crabgrass,7079,-1,3483
crablike,7628,-1,-1
crabmeat,7063,-1,3477
cradle,2944,-1,-1
cradling,6276,-1,-1
crafter,6466,-1,-1
craftily,7118,-1,3498
craftsman,3870,-1,2154
craftwork,7300,-1,-1
crafty,3906,-1,-1
cramp,4539,-1,-1
cranberry,4057,-1,2220
crane,1802,-1,1159
cranial,4723,-1,-1
cranium,5813,-1,-1
crank,2606,-1,-1
crate,3046,-1,-1
crave,3047,-1,-1
craving,2755,-1,-1
crawfish,5784,-1,-1
crawlers,6222,-1,3154
crawling,2664,-1,1604
crayfish,5179,-1,-1
crayon,4503,-1,2417
crazed,4158,-1,2270
crazily,6196,-1,-1
craziness,4331,-1,2343
crazy,229,191,192
creamed,5577,-1,-1
creamer,5605,-1,-1
creamlike,7629,-1,-1
crease,3574,-1,-1
creasing,6368,-1,-1
creatable,7630,-1,-1
create,256,212,-1
creation,689,-1,546
creative,642,-1,-1
creature,1308,-1,-1
credible,2168,-1,1354
credibly,6008,-1,-1
credit,267,-1,225
creed,2364,-1,1450
creme,4245,-1,-1
creole,4436,-1,2386
crepe,5116,-1,-1
crept,4119,-1,2252
crescent,2725,-1,1635
crested,5087,-1,-1
cresting,6834,-1,-1
crestless,7631,-1,-1
crevice,5878,-1,3002
crewless,7632,-1,-1
crewman,5879,-1,3003
crewmate,7308,-1,-1
crib,3018,-1,1775
cricket,933,525,686
cried,1241,-1,-1
crier,6323,-1,-1
crimp,5901,-1,-1
crimson,2645,-1,-1
cringe,2820,-1,-1
cringing,5515,-1,-1
crinkle,6496,-1,-1
crinkly,6950,-1,-1
crisped,7064,-1,-1
crisping,7420,-1,-1
crisply,6678,-1,-1
crispness,6782,-1,-1
crispy,3383,-1,1932
criteria,1198,-1,844
critter,5413,-1,-1
croak,6369,-1,-1
crock,4577,-1,-1
crook,3239,-1,1866
croon,6690,-1,-1
crop,1324,-1,-1
cross,268,218,226
crouch,3725,-1,2086
crouton,7005,-1,-1
crowbar,5578,-1,2863
crowd,533,-1,430
crown,690,-1,-1
crucial,1098,576,782
crudely,5579,-1,-1
crudeness,7146,-1,-1
cruelly,4862,-1,-1
cruelness,7576,-1,-1
cruelty,2196,-1,1370
crumb,4803,-1,2557
crummiest,7633,-1,3667
crummy,5985,-1,3047
crumpet,6835,-1,-1
crumpled,4932,-1,2609
cruncher,7006,-1,3457
crunching,4120,-1,-1
crunchy,3871,-1,-1
crusader,3907,-1,2166
crushable,7386,-1,-1
crushed,1558,-1,1034
crusher,4286,-1,-1
crushing,2018,-1,-1
crust,2365,-1,-1
crux,4504,-1,2418
crying,691,436,547
cryptic,3834,-1,2138
crystal,911,-1,669
cubbyhole,7287,-1,3570
cube,2048,808,-1
cubical,6890,-1,-1
cubicle,4437,-1,-1
cucumber,3240,1029,1867
cuddle,3277,1035,1882
cuddly,4159,-1,-1
cufflink,7236,1367,3544
culinary,2756,-1,-1
culminate,5516,-1,-1
culpable,5059,-1,-1
culprit,3278,-1,1883
cultivate,3210,-1,-1
cultural,479,-1,-1
culture,250,208,211
cupbearer,7189,-1,3524
cupcake,3452,1060,1960
cupid,3945,-1,2177
cupped,6197,-1,-1
cupping,5936,-1,-1
curable,5752,-1,-1
curator,2791,-1,1665
curdle,6924,-1,-1
cure,1030,553,746
curfew,3384,-1,-1
curing,3726,-1,-1
curled,3483,-1,-1
curler,6155,-1,-1
curliness,7634,-1,-1
curling,2914,-1,-1
curly,2646,-1,1596
curry,1704,-1,-1
curse,1483,-1,-1
cursive,5017,-1,-1
cursor,4368,-1,-1
curtain,1947,-1,-1
curtly,6754,-1,-1
curtsy,6891,-1,3412
curvature,3872,-1,-1
curve,1340,-1,-1
curvy,4121,-1,-1
cushy,5753,-1,-1
cusp,4505,-1,2419
cussed,6422,-1,-1
custard,4058,-1,-1
custodian,4246,-1,-1
custody,1183,-1,833
customary,2850,-1,-1
customer,636,408,506
customize,3695,-1,-1
customs,1242,-1,-1
cut,144,127,121
cycle,643,411,510
cyclic,4087,-1,-1
cycling,1421,-1,-1
cyclist,2703,-1,1625
cylinder,1640,722,1082
cymbal,5954,1314,3033
cytoplasm,5414,1278,2796
cytoplast,7635,-1,-1
dab,3553,1077,2009
dad,299,236,252
daffodil,6032,1320,3066
dagger,2821,959,1681
daily,230,192,193
daintily,7105,-1,-1
dainty,4438,-1,2387
dairy,1437,-1,-1
daisy,2146,-1,-1
dallying,6997,1360,-1
dance,323,251,272
dancing,770,-1,-1
dandelion,5018,-1,2638
dander,6679,-1,3334
dandruff,5785,-1,2948
dandy,3761,-1,-1
danger,653,-1,-1
dangle,4966,-1,-1
dangling,3639,-1,-1
daredevil,3640,-1,2046
dares,3873,-1,-1
daringly,6878,-1,-1
darkened,4201,-1,-1
darkening,5484,-1,-1
darkish,7127,-1,-1
darkness,1060,563,-1
darkroom,5754,-1,2936
darling,1438,-1,-1
darn,2607,-1,-1
dart,2880,-1,-1
darwinism,5539,-1,2849
dash,1619,719,1069
dastardly,5814,-1,2967
data,115,104,99
datebook,7324,-1,-1
dating,534,-1,431
daughter,231,193,194
daunting,3279,-1,-1
dawdler,7636,-1,-1
dawn,1111,579,-1
daybed,7177,-1,3521
daybreak,4578,-1,2453
daycare,3609,-1,2033
daydream,4758,-1,-1
daylight,1988,798,1270
daylong,6903,-1,3418
dayroom,7417,-1,-1
daytime,2471,-1,1501
dazzler,6951,-1,-1
dazzling,3309,1041,1898
deacon,3310,-1,-1
deafening,4759,-1,2540
deafness,5019,-1,2639
dealer,1243,-1,869
dealing,644,412,-1
dealmaker,7225,-1,-1
dealt,1218,-1,855
dean,912,-1,670
debatable,4202,-1,-1
debate,593,390,478
debating,2412,-1,-1
debit,2589,-1,1564
debrief,6277,-1,3174
debtless,7637,-1,-1
debtor,4394,-1,2369
debug,5155,-1,2693
debunk,5699,-1,2911
decade,744,-1,573
decaf,5842,-1,2984
decal,4645,-1,-1
decathlon,6009,-1,3059
decay,2019,-1,-1
deceased,1705,-1,-1
deceit,3795,-1,2121
deceiver,6198,-1,-1
deceiving,4059,-1,2221
december,232,194,-1
decency,2945,-1,1734
decent,913,-1,-1
deception,2497,-1,-1
deceptive,3484,-1,1974
decibel,6043,-1,3074
decidable,7155,-1,-1
decimal,3663,-1,2059
decimeter,7517,-1,3642
decipher,4160,-1,2271
deck,900,-1,663
declared,706,-1,556
decline,914,-1,671
decode,4608,-1,-1
decompose,5485,-1,-1
decorated,1753,-1,-1
decorator,4863,-1,-1
decoy,4540,-1,2434
decrease,1293,-1,894
decree,2049,-1,-1
dedicate,2915,971,-1
dedicator,7638,-1,-1
deduce,4804,-1,-1
deduct,4369,-1,2361
deed,2221,-1,1383
deem,3485,-1,-1
deepen,3979,-1,2190
deeply,853,494,631
deepness,7106,-1,-1
deface,6497,-1,-1
defacing,6423,-1,-1
defame,6100,-1,3104
default,1079,-1,-1
defeat,759,-1,580
defection,4994,-1,-1
defective,2726,-1,-1
defendant,1665,-1,-1
defender,1397,-1,-1
defense,324,252,273
defensive,947,-1,-1
deferral,5937,-1,-1
deferred,2822,-1,1682
defiance,3019,-1,-1
defiant,3908,-1,-1
defile,5786,-1,2949
defiling,6691,-1,-1
define,1046,-1,-1
definite,2147,-1,1347
deflate,5902,-1,-1
deflation,4933,-1,-1
deflator,7203,-1,-1
deflected,4439,-1,-1
deflector,6124,-1,-1
defog,7585,-1,-1
deforest,6804,-1,-1
defraud,5180,-1,2704
defrost,6182,-1,3140
deftly,5181,-1,-1
defuse,5088,-1,-1
defy,3211,-1,1851
degraded,3575,-1,2018
degrading,3453,-1,-1
degrease,7472,-1,-1
degree,311,243,263
dehydrate,6545,1344,-1
deity,2792,952,-1
dejected,5415,1279,-1
delay,915,-1,672
delegate,2366,-1,-1
delegator,7431,-1,-1
delete,1184,-1,834
deletion,3835,-1,-1
delicacy,4019,-1,-1
delicate,1597,-1,-1
delicious,1007,-1,736
delighted,1439,-1,976
delirious,4864,-1,-1
delirium,4834,-1,2570
deliverer,6406,-1,-1
delivery,654,417,516
delouse,7574,-1,-1
delta,1384,-1,-1
deluge,4506,-1,-1
delusion,3385,-1,-1
deluxe,2305,-1,1423
demanding,1360,-1,-1
demeaning,4934,-1,-1
demeanor,3946,-1,-1
demise,2472,-1,1502
democracy,760,459,581
democrat,1155,-1,-1
demote,6546,-1,-1
demotion,5641,-1,-1
demystify,6765,-1,-1
denatured,6467,-1,-1
deniable,7097,-1,-1
denial,1641,-1,-1
denim,2881,-1,1704
denote,3641,-1,2047
dense,1666,-1,-1
density,1015,-1,-1
dental,1398,-1,-1
dentist,1948,-1,-1
denture,6070,-1,-1
deny,1008,546,-1
deodorant,4247,1142,2304
deodorize,7475,-1,3626
departed,2148,-1,-1
departure,1185,-1,835
depict,3241,-1,-1
deplete,5787,-1,-1
depletion,4161,-1,-1
deplored,6278,-1,-1
deploy,2367,-1,-1
deport,4020,-1,2207
depose,5729,-1,-1
depraved,4541,-1,-1
depravity,5156,-1,-1
deprecate,7080,-1,3484
depress,5157,-1,-1
deprive,3980,-1,-1
depth,707,442,557
deputize,7288,-1,3571
deputy,708,-1,-1
derail,4395,-1,-1
deranged,3947,-1,-1
derby,1422,-1,-1
derived,1080,570,-1
desecrate,6524,-1,-1
deserve,655,-1,517
deserving,2727,-1,-1
designate,3386,-1,-1
designed,292,-1,245
designer,885,-1,-1
designing,1875,-1,1204
deskbound,7586,-1,-1
desktop,1779,-1,1148
deskwork,7639,-1,3668
desolate,4060,-1,-1
despair,2050,-1,-1
despise,2946,-1,-1
despite,269,219,227
destiny,1244,-1,870
destitute,4440,-1,-1
destruct,5020,-1,-1
detached,2120,-1,1334
detail,678,430,537
detection,1497,-1,-1
detective,1199,-1,-1
detector,2335,-1,1437
detention,1706,-1,-1
detergent,3948,-1,2178
detest,5117,-1,2678
detonate,4760,-1,-1
detonator,5955,-1,3034
detoxify,6792,-1,3373
detract,4646,-1,2489
deuce,4897,1220,2595
devalue,5788,-1,-1
deviancy,7042,-1,3467
deviant,4579,-1,-1
deviate,4475,-1,-1
deviation,3280,-1,1884
deviator,7640,-1,-1
device,561,377,-1
devious,4580,-1,-1
devotedly,7007,-1,-1
devotee,4935,-1,-1
devotion,2279,-1,-1
devourer,6913,-1,3422
devouring,5021,-1,-1
devoutly,6468,-1,3246
dexterity,4441,1161,2388
dexterous,6562,-1,3286
diabetes,1294,-1,895
diabetic,3109,-1,-1
diabolic,6755,-1,3361
diagnoses,3796,-1,-1
diagnosis,1219,615,856
diagram,1973,-1,1259
dial,1780,-1,1149
diameter,1457,-1,-1
diaper,2987,-1,1757
diaphragm,4370,-1,-1
diary,1440,-1,-1
dice,2197,841,1371
dicing,6661,-1,-1
dictate,2704,-1,-1
dictation,5606,-1,-1
dictator,2473,-1,1503
difficult,233,195,195
diffused,5540,-1,-1
diffuser,5378,-1,2779
diffusion,3281,-1,1885
diffusive,7033,-1,-1
dig,1186,607,836
dilation,5089,-1,-1
diligence,2916,972,1717
diligent,3836,-1,-1
dill,4287,-1,-1
dilute,4021,-1,-1
dime,2474,897,-1
diminish,3084,-1,1798
dimly,5347,-1,-1
dimmed,5486,-1,-1
dimmer,5730,-1,-1
dimness,7332,-1,-1
dimple,5580,-1,-1
diner,3020,-1,-1
dingbat,6977,-1,3448
dinghy,5237,-1,2722
dinginess,7641,-1,-1
dingo,5487,-1,-1
dingy,5273,-1,-1
dining,1341,-1,-1
dinner,447,314,367
diocese,2947,-1,1735
dioxide,2072,812,1301
diploma,2198,842,1372
dipped,2823,-1,1683
dipper,5238,-1,-1
dipping,3021,-1,-1
directed,645,-1,-1
direction,325,253,274
directive,2336,-1,-1
directly,343,-1,291
directory,1781,-1,-1
direness,7642,-1,-1
dirtiness,7196,-1,-1
disabled,1081,-1,773
disagree,1441,-1,977
disallow,6010,-1,3060
disarm,3909,-1,-1
disarray,4835,-1,2571
disaster,934,-1,687
disband,5118,-1,2679
disbelief,3180,-1,-1
disburse,6736,-1,3354
discard,3387,-1,-1
discern,3837,-1,2139
discharge,1782,-1,1150
disclose,1989,-1,1271
discolor,6722,-1,-1
discount,987,-1,721
discourse,2020,-1,-1
discover,935,-1,-1
discuss,570,-1,459
disdain,3520,-1,1991
disengage,5022,-1,-1
disfigure,6793,-1,-1
disgrace,2280,-1,-1
dish,1200,-1,-1
disinfect,6044,-1,3075
disjoin,7643,-1,3669
disk,1598,-1,-1
dislike,1876,-1,1205
disliking,5843,-1,-1
dislocate,6737,-1,3355
dislodge,5348,-1,-1
disloyal,5213,-1,-1
dismantle,3797,-1,-1
dismay,3727,-1,-1
dismiss,1974,-1,1260
dismount,5903,-1,-1
disobey,5239,-1,2723
disorder,1047,-1,754
disown,5581,-1,-1
disparate,3728,-1,-1
disparity,3212,-1,-1
dispatch,2199,-1,-1
dispense,4288,-1,-1
dispersal,4162,-1,-1
dispersed,2948,-1,1736
disperser,7440,-1,-1
displace,4805,-1,-1
display,606,-1,486
displease,6692,-1,-1
disposal,1620,-1,1070
dispose,2851,-1,-1
disprove,4936,-1,-1
dispute,1112,-1,789
disregard,2475,-1,1504
disrupt,2665,-1,1605
dissuade,4647,-1,-1
distance,386,-1,-1
distant,1245,-1,871
distaste,4967,-1,-1
distill,6247,-1,3162
distinct,1082,-1,-1
distort,4396,-1,-1
distract,2337,-1,-1
distress,1729,-1,-1
district,247,206,209
distrust,3282,-1,-1
ditch,1850,767,1189
ditto,3355,-1,-1
ditzy,6628,-1,-1
dividable,7644,-1,-1
divided,805,-1,604
dividend,2051,-1,-1
dividers,6156,-1,-1
dividing,2557,-1,-1
divinely,5582,-1,2864
diving,1578,-1,-1
divinity,3110,-1,-1
divisible,5660,-1,-1
divisibly,7645,-1,-1
division,376,280,315
divisive,3486,-1,-1
divorcee,6223,-1,-1
dizziness,4289,-1,2320
dizzy,3181,1019,1842
doable,4507,1171,-1
docile,4937,-1,2610
dock,1642,-1,-1
doctrine,1667,-1,1093
document,771,463,587
dodge,1783,751,1151
dodgy,3554,-1,-1
doily,6817,-1,-1
doing,51,49,-1
dole,3521,-1,-1
dollar,656,418,518
dollhouse,5315,-1,2756
dollop,5880,-1,3004
dolly,2824,-1,1684
dolphin,2439,-1,1486
domain,1048,-1,755
domelike,7646,-1,3670
domestic,540,371,437
dominion,2476,-1,1505
dominoes,5240,-1,-1
donated,1498,690,1008
donation,1621,-1,-1
donator,7264,-1,-1
donor,1803,-1,1160
donut,3576,-1,2019
doodle,3642,-1,2048
doorbell,4508,-1,2420
doorframe,6914,-1,3423
doorknob,5789,-1,2950
doorman,5349,-1,-1
doormat,5790,-1,2951
doornail,7379,-1,3601
doorpost,7421,-1,-1
doorstep,2949,-1,1737
doorstop,6756,-1,-1
doorway,2917,973,1718
doozy,6224,-1,-1
dork,4332,-1,-1
dormitory,4248,-1,2305
dorsal,3111,1009,1811
dosage,2882,-1,-1
dose,1220,616,857
dotted,3242,1030,-1
doubling,2608,924,1572
douche,3388,-1,-1
dove,2440,888,-1
down,23,23,22
dowry,4203,-1,-1
doze,5815,1307,-1
drab,4648,-1,-1
dragging,2052,-1,1289
dragonfly,4581,-1,2454
dragonish,7647,-1,3671
dragster,6904,-1,-1
drainable,7565,-1,-1
drainage,2169,-1,-1
drained,2392,-1,-1
drainer,7034,-1,-1
drainpipe,6905,-1,3419
dramatic,901,-1,664
dramatize,6525,-1,-1
drank,1730,-1,1124
drapery,5881,-1,-1
drastic,2558,-1,-1
draw,427,305,352
dreaded,3454,-1,-1
dreadful,2477,-1,1506
dreadlock,7226,-1,-1
dreamboat,6925,-1,-1
dreamily,6892,-1,-1
dreamland,5488,-1,2828
dreamless,6966,-1,-1
dreamlike,6125,-1,3118
dreamt,3522,-1,1992
dreamy,3838,-1,-1
drearily,7357,-1,-1
dreary,4397,-1,2370
drench,6424,-1,-1
dress,471,331,382
drew,819,-1,-1
dribble,4476,-1,2405
dried,1538,-1,-1
drier,3981,-1,-1
drift,2053,-1,1290
driller,6449,-1,-1
drilling,1784,-1,-1
drinkable,5956,-1,-1
drinking,523,-1,422
dripping,3022,-1,-1
drippy,6805,-1,3377
drivable,6906,-1,-1
driven,721,-1,-1
driver,480,-1,387
driveway,2498,-1,1518
driving,344,263,-1
drizzle,4122,-1,2253
drizzly,6757,-1,-1
drone,1622,-1,-1
drool,4542,-1,2435
droop,6157,-1,-1
dropbox,4333,-1,2344
dropkick,6342,-1,3199
droplet,5517,-1,2841
dropout,4398,-1,2371
dropper,6011,-1,-1
drove,973,535,711
drown,2413,-1,-1
drowsily,7422,-1,3608
drudge,5904,-1,-1
drum,1399,662,956
dry,490,341,395
dubbed,2073,813,1302
dubiously,6844,-1,3393
duchess,2200,843,1373
duckbill,7237,-1,3545
ducking,4509,-1,-1
duckling,5755,-1,-1
ducktail,7558,-1,-1
ducky,5700,-1,2912
duct,2705,-1,-1
dude,428,306,353
duffel,5541,1287,2850
dugout,4582,1180,2455
duh,2647,931,1597
duke,836,485,-1
duller,6279,-1,3175
dullness,6407,-1,3222
duly,3139,1012,-1
dumping,2441,889,-1
dumpling,5731,-1,-1
dumpster,2918,-1,1719
duo,1458,677,985
dupe,5379,-1,-1
duplex,4204,-1,2287
duplicate,2666,932,1606
duplicity,6158,-1,-1
durable,2414,-1,1471
durably,7271,-1,-1
duration,1342,-1,-1
duress,4609,-1,-1
during,36,36,32
dusk,3140,-1,1825
dust,902,513,-1
dutiful,5844,-1,-1
duty,524,363,423
duvet,4724,1196,2524
dwarf,2222,849,1384
dweeb,6425,-1,3226
dwelled,6563,-1,3287
dweller,5416,-1,-1
dwelling,2254,857,-1
dwindle,5905,-1,3010
dwindling,4371,1151,-1
dynamic,1049,560,756
dynamite,2667,-1,-1
dynasty,1923,-1,1235
dyslexia,4610,1185,2470
dyslexic,5583,-1,-1
each,40,39,34
eagle,1361,652,935
earache,6783,-1,-1
eardrum,6307,-1,3188
earflap,7648,-1,3672
earful,6526,-1,-1
earlobe,6585,-1,3299
early,82,77,72
earmark,6629,-1,-1
earmuff,7490,-1,3634
earphone,6199,-1,-1
earpiece,5607,-1,2874
earplugs,5845,-1,2985
earring,4399,-1,-1
earshot,5846,-1,2986
earthen,5214,-1,-1
earthlike,7252,-1,-1
earthling,6709,-1,3342
earthly,3555,-1,-1
earthworm,6324,-1,3191
earthy,4611,-1,2471
earwig,6865,-1,3402
easeful,7447,-1,-1
easel,5701,-1,2913
easiest,1804,-1,1161
easily,339,260,287
easiness,6978,-1,-1
easing,3762,-1,-1
eastbound,4510,-1,2421
eastcoast,7510,-1,3639
easter,1385,-1,-1
eastward,3798,-1,-1
eatable,7128,-1,-1
eaten,1362,-1,936
eatery,5380,-1,-1
eating,387,284,-1
eats,1731,-1,-1
ebay,1539,701,1023
ebony,3487,-1,1975
ebook,2338,873,-1
ecard,7325,1369,-1
eccentric,2706,938,1626
echo,1540,702,-1
eclair,6723,-1,-1
eclipse,2074,814,1303
ecologist,5732,-1,2926
ecology,2255,-1,-1
economic,207,174,172
economist,1924,-1,-1
economy,369,-1,-1
ecosphere,7301,-1,-1
ecosystem,2149,-1,-1
edge,491,342,396
edginess,6857,-1,3400
edging,4123,-1,-1
edgy,3311,-1,-1
edition,432,308,-1
editor,621,-1,497
educated,1083,-1,774
education,127,115,109
educator,2793,-1,-1
eel,3839,1101,-1
effective,351,-1,297
effects,352,-1,-1
efficient,886,-1,654
effort,331,256,279
eggbeater,7473,-1,3625
egging,6280,-1,-1
eggnog,6343,-1,3200
eggplant,4649,1191,-1
eggshell,6248,-1,-1
egomaniac,6662,-1,3328
egotism,6564,1346,3288
egotistic,6967,-1,-1
either,118,106,101
eject,4725,1197,-1
elaborate,1499,691,1009
elastic,2668,-1,-1
elated,4806,-1,-1
elbow,1990,799,1272
eldercare,7119,-1,3499
elderly,1325,644,915
eldest,2393,-1,1463
electable,6758,-1,-1
election,220,185,184
elective,3556,-1,-1
elephant,1459,-1,986
elevate,3356,-1,-1
elevating,4612,-1,2472
elevation,1851,-1,-1
elevator,1732,-1,1125
eleven,1386,-1,-1
elf,2499,900,1519
eligible,1084,-1,775
eligibly,7649,-1,-1
eliminate,1326,-1,-1
elite,916,516,673
elitism,5847,-1,2987
elixir,4088,-1,2235
elk,2988,982,1758
ellipse,5702,-1,-1
elliptic,5023,1234,2640
elm,3419,1056,1947
elongated,3455,1061,-1
elope,6183,-1,-1
eloquence,5241,-1,-1
eloquent,3910,-1,2167
elsewhere,820,478,613
elude,5381,-1,-1
elusive,3048,994,-1
elves,3283,1036,1886
email,552,376,447
embargo,3577,-1,-1
embark,3284,-1,1887
embassy,1363,653,937
embattled,5382,-1,-1
embellish,6045,-1,-1
ember,4807,-1,-1
embezzle,6934,-1,3432
emblaze,7650,-1,-1
emblem,2707,-1,1627
embody,4061,-1,-1
embolism,5417,-1,2797
emboss,7253,-1,-1
embroider,6710,-1,-1
emcee,5542,1288,2851
emerald,2648,-1,1598
emergency,507,353,409
emission,2368,878,-1
emit,3763,-1,2103
emote,6263,-1,3169
emoticon,6308,-1,-1
emotion,1246,622,-1
empathic,5957,-1,3035
empathy,2306,-1,-1
emperor,1138,-1,806
emphases,6680,-1,-1
emphasis,1247,-1,872
emphasize,2394,-1,-1
emphatic,4372,-1,-1
empirical,2590,-1,1565
employed,887,-1,-1
employee,772,-1,588
employer,1187,-1,-1
emporium,5024,-1,2641
empower,2919,-1,-1
emptier,6738,-1,-1
emptiness,3696,-1,2075
empty,657,419,519
emu,4511,1172,2422
enable,1061,564,-1
enactment,3874,-1,2155
enamel,3456,-1,1961
enchanted,3141,-1,-1
enchilada,6450,-1,3237
encircle,5906,-1,-1
enclose,5418,-1,-1
enclosure,2609,-1,-1
encode,4865,-1,2583
encore,3312,-1,-1
encounter,1125,-1,-1
encourage,837,486,623
encroach,6200,-1,-1
encrust,7553,-1,3652
encrypt,5451,-1,2814
endanger,3840,-1,2140
endeared,6046,-1,-1
endearing,4205,-1,-1
ended,332,257,280
ending,553,-1,-1
endless,1269,-1,-1
endnote,7008,-1,-1
endocrine,4477,-1,-1
endorphin,6611,-1,-1
